         9512 function calls (9468 primitive calls) in 0.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 mongo_replica_set_client.py:15(<module>)
        1    0.000    0.000    0.000    0.000 max_key.py:16(<module>)
        1    0.000    0.000    0.000    0.000 codec_options.py:73(_parse_codec_options)
        1    0.000    0.000    0.000    0.000 threading.py:575(set)
       19    0.000    0.000    0.000    0.000 {_struct.calcsize}
       20    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 thread_util.py:83(release)
        1    0.000    0.000    0.000    0.000 uri_parser.py:209(split_hosts)
        8    0.000    0.000    0.000    0.000 {map}
        6    0.000    0.000    0.000    0.000 read_preferences.py:71(__init__)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:24(<module>)
        4    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       17    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        1    0.000    0.000    0.000    0.000 client_options.py:39(_parse_read_preference)
        2    0.000    0.000    0.000    0.000 threading.py:372(notify)
        1    0.000    0.000    0.000    0.000 objectid.py:35(_machine_bytes)
        2    0.000    0.000    0.000    0.000 {bson._cbson.decode_all}
        3    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 thread_util.py:63(release)
        2    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        2    0.000    0.000    0.000    0.000 threading.py:709(_set_daemon)
        1    0.000    0.000    0.000    0.000 min_key.py:16(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
        6    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 read_preferences.py:151(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       14    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 topology_description.py:31(__init__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 random.py:236(randint)
        1    0.000    0.000    0.000    0.000 idna.py:279(getregentry)
        4    0.000    0.000    0.000    0.000 ismaster.py:94(max_bson_size)
        4    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        4    0.000    0.000    0.000    0.000 contextlib.py:82(helper)
        1    0.000    0.000    0.000    0.000 client_options.py:49(_parse_write_concern)
        1    0.000    0.000    0.000    0.000 topology.py:307(_apply_selector)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:36(getregentry)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 threading.py:399(notifyAll)
        1    0.000    0.000    0.000    0.000 common.py:353(validate_document_class)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 cursor.py:97(Cursor)
       16    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 __init__.py:75(get_version_string)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 collection.py:156(_socket_for_reads)
        1    0.000    0.000    0.000    0.000 read_preferences.py:276(make_read_preference)
        1    0.000    0.000    0.000    0.000 <string>:1(MongoCredential)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        2    0.000    0.000    0.000    0.000 ismaster.py:24(_get_server_type)
        3    0.000    0.000    0.000    0.000 son.py:106(__setitem__)
        1    0.000    0.000    0.000    0.000 <string>:1(ServerType)
        6    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
        1    0.000    0.000    0.000    0.000 random.py:173(randrange)
        1    0.000    0.000    0.000    0.000 server_description.py:21(ServerDescription)
        1    0.000    0.000    0.000    0.000 ismaster.py:68(all_hosts)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {sys._getframe}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 ismaster.py:102(max_write_batch_size)
        1    0.000    0.000    0.000    0.000 <string>:1(TopologyType)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 uri_parser.py:116(parse_host)
        2    0.000    0.000    0.000    0.000 helpers.py:133(_check_command_response)
        8    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 topology_description.py:130(known_servers)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7f948a9fc488}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 re.py:204(escape)
        1    0.000    0.000    0.000    0.000 ssl.py:196(SSLSocket)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 {math.exp}
